code,code_type,description,concept_id,code_class
I71.3,ICD10CM,"Abdominal aortic aneurysm, ruptured",35207846,pvd
I70.8,ICD10CM,Atherosclerosis of other arteries,35207843,pvd
I79.0,ICD10CM,Aneurysm of aorta in diseases classified elsewhere,35207881,pvd
I71.8,ICD10CM,"Aortic aneurysm of unspecified site, ruptured",35207850,pvd
I70.203,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, bilateral legs",45596232,pvd
I70.218,ICD10CM,"Atherosclerosis of native arteries of extremities with intermittent claudication, other extremity",45605829,pvd
I70.243,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of ankle,45562386,pvd
I70.244,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot,45548059,pvd
I70.293,ICD10CM,"Other atherosclerosis of native arteries of extremities, bilateral legs",45552825,pvd
I70.312,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, left leg",45557571,pvd
I70.368,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, other extremity",45538424,pvd
I70.399,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity",45567214,pvd
I70.402,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg",45562393,pvd
I70.403,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, bilateral legs",45605834,pvd
I70.429,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, unspecified extremity",45581802,pvd
I70.441,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of thigh,45596238,pvd
I70.492,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, left leg",45552830,pvd
I70.493,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, bilateral legs",45601072,pvd
